,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
305,Shingu,20,JP,1562460838,74,33.72,135.99,26.0,2.6
306,Igarka,29,RU,1562460840,62,67.47,86.57,14.08,4.83
307,Farafangana,85,MG,1562460841,90,-22.82,47.83,17.92,1.57
308,Beliator,90,IN,1562460842,94,23.33,87.22,28.89,2.6
309,Trincomalee,100,LK,1562460844,77,8.58,81.23,25.95,3.36
310,Iqaluit,75,CA,1562460845,87,63.75,-68.52,6.0,5.1
311,Karasjok,100,NO,1562460846,93,69.47,25.52,9.0,9.8
312,Coahuayana,64,MX,1562460848,62,18.62,-100.35,30.66,0.71
313,Lerwick,100,GB,1562460849,81,60.15,-1.15,9.0,5.1
314,Kainantu,81,PG,1562460850,82,-6.29,145.87,17.57,0.75
315,Rafsanjan,0,IR,1562460851,18,30.4,55.99,22.56,2.52
316,Santa Ines,75,EC,1562460853,87,-0.82,-78.63,10.0,7.7
317,Yako,52,BF,1562460854,44,12.96,-2.26,30.95,2.85
318,Bani Walid,0,LY,1562460855,47,31.76,14.0,22.92,2.45
319,Mundwa,65,IN,1562460857,69,27.06,73.82,29.66,9.66
320,Mana,8,NG,1562460858,45,13.03,5.27,31.4,3.89
321,Gorom-Gorom,18,BF,1562460859,30,14.45,-0.24,34.83,1.12
322,Evensk,45,RU,1562460861,64,61.92,159.24,14.13,2.1
323,Calvinia,86,ZA,1562460862,89,-31.47,19.78,9.29,3.69
324,Marsh Harbour,9,BS,1562460863,72,26.54,-77.06,28.43,6.69
325,Mandapam,100,IN,1562460865,71,9.28,79.12,28.47,8.22
326,Pringsewu,0,ID,1562460866,86,-5.36,104.98,22.34,1.29
327,Mnogovershinnyy,93,RU,1562460867,64,53.94,139.92,21.19,2.29
328,Prabumulih,28,ID,1562460869,98,-3.5,104.19,23.21,0.99
329,Tortoli,5,IT,1562460870,88,39.93,9.66,25.0,5.7
330,Faanui,3,PF,1562460871,82,-16.48,-151.75,25.71,7.67
331,Berberati,100,CF,1562460873,94,4.26,15.79,20.46,0.78
332,Ust-Maya,100,RU,1562460874,80,60.42,134.54,14.52,1.84
333,Flagstaff,1,US,1562460875,13,35.2,-111.65,35.56,5.7
334,Te Anau,49,NZ,1562460877,76,-45.41,167.72,6.64,5.44
335,Nagod,98,IN,1562460878,88,24.57,80.59,24.68,4.43
336,Sibolga,69,ID,1562460879,78,1.74,98.78,26.87,1.25
337,Marzuq,96,YE,1562460881,43,14.4,46.47,25.03,2.02
338,Lorengau,94,PG,1562460882,83,-2.02,147.27,27.26,3.62
339,Ihosy,44,MG,1562460883,87,-22.4,46.13,13.14,1.04
340,Atambua,82,ID,1562460885,67,-9.11,124.89,23.58,7.01
341,Broome,81,GB,1562460886,87,52.47,1.45,14.0,1.5
342,Nokaneng,0,BW,1562460887,20,-19.66,22.19,11.32,1.71
343,Nyrob,94,RU,1562460889,97,60.74,56.73,9.15,2.25
344,Carver,20,US,1562460890,100,41.88,-70.76,23.89,3.13
345,Nguruka,46,TZ,1562460891,61,-5.11,31.04,19.87,0.11
346,Tongliao,64,CN,1562460893,65,43.61,122.27,22.4,2.21
347,Fort Nelson,75,CA,1562460894,31,58.81,-122.69,26.0,2.6
348,Rosetta,0,EG,1562460896,69,31.4,30.42,27.0,5.7
349,Yantal,100,RU,1562460897,93,56.85,105.25,15.69,3.41
350,Palana,94,RU,1562460898,84,59.08,159.95,11.06,4.5
351,Bonavista,86,CA,1562460899,80,48.65,-53.11,11.67,0.89
352,Pemberton,22,AU,1562460901,100,-34.44,116.03,10.56,0.45
353,Ichinohe,75,JP,1562460902,93,40.14,141.28,17.0,5.1
354,Muravlenko,0,RU,1562460903,82,63.79,74.5,13.76,4.82
355,Tura,98,RU,1562460905,92,64.27,100.22,11.88,0.88
356,Kawalu,62,ID,1562460906,92,-7.38,108.21,20.03,1.24
357,Balabac,25,PH,1562460907,76,7.99,117.06,28.36,3.73
358,Labuhan,0,ID,1562460909,80,-2.54,115.51,24.82,0.35
359,Damietta,0,EG,1562460910,83,31.42,31.81,27.0,2.6
360,Henties Bay,0,NA,1562460911,96,-22.12,14.28,11.11,1.8
361,Dingle,22,PH,1562460913,82,11.0,122.67,27.02,2.72
362,Praya,20,ID,1562460914,88,-8.71,116.27,22.0,2.81
363,Port Blair,75,IN,1562460915,83,11.67,92.75,28.0,3.6
364,Sesheke,0,NA,1562460917,31,-17.47,24.29,11.15,1.4
365,Pimentel,9,BR,1562460918,94,-3.7,-45.5,23.37,1.58
366,Fortuna,75,US,1562460919,67,40.6,-124.16,21.67,7.7
